id,name_en,name_ja,base_stat_total,hp,attack,defense,special-attack,special-defense,speed,types,sprite_url,generation,evolution_stage,is_legendary,is_mythical
13,weedle,ビードル,195,40,35,30,20,20,50,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png,generation-i,0,False,False
14,kakuna,コクーン,205,45,25,50,25,25,35,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png,generation-i,1,False,False
15,beedrill,スピアー,395,65,90,40,45,80,75,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png,generation-i,2,False,False
16,pidgey,ポッポ,251,40,45,40,35,35,56,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png,generation-i,0,False,False
17,pidgeotto,ピジョン,349,63,60,55,50,50,71,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png,generation-i,1,False,False
18,pidgeot,ピジョット,479,83,80,75,70,70,101,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png,generation-i,2,False,False
19,rattata,コラッタ,253,30,56,35,25,35,72,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,generation-i,0,False,False
20,raticate,ラッタ,413,55,81,60,50,70,97,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,generation-i,1,False,False
21,spearow,オニスズメ,262,40,60,30,31,31,70,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,generation-i,0,False,False
22,fearow,オニドリル,442,65,90,65,61,61,100,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,generation-i,1,False,False
23,ekans,アーボ,288,35,60,44,40,54,55,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,generation-i,0,False,False
24,arbok,アーボック,448,60,95,69,65,79,80,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,generation-i,1,False,False
25,pikachu,ピカチュウ,320,35,55,40,50,50,90,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,generation-i,1,False,False
26,raichu,ライチュウ,485,60,90,55,90,80,110,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,generation-i,2,False,False
27,sandshrew,サンド,300,50,75,85,20,30,40,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,generation-i,0,False,False
28,sandslash,サンドパン,450,75,100,110,45,55,65,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,generation-i,1,False,False
29,nidoran-f,ニドラン♀,275,55,47,52,40,40,41,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,generation-i,0,False,False
30,nidorina,ニドリーナ,365,70,62,67,55,55,56,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,generation-i,1,False,False
31,nidoqueen,ニドクイン,505,90,92,87,75,85,76,"poison,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,generation-i,2,False,False
32,nidoran-m,ニドラン♂,273,46,57,40,40,40,50,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,generation-i,0,False,False
33,nidorino,ニドリーノ,365,61,72,57,55,55,65,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,generation-i,1,False,False
34,nidoking,ニドキング,505,81,102,77,85,75,85,"poison,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,generation-i,2,False,False
35,clefairy,ピッピ,323,70,45,48,60,65,35,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,generation-i,1,False,False
36,clefable,ピクシー,483,95,70,73,95,90,60,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,generation-i,2,False,False
37,vulpix,ロコン,299,38,41,40,50,65,65,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,generation-i,0,False,False
38,ninetales,キュウコン,505,73,76,75,81,100,100,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,generation-i,1,False,False
39,jigglypuff,プリン,270,115,45,20,45,25,20,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,generation-i,1,False,False
40,wigglytuff,プクリン,435,140,70,45,85,50,45,"normal,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,generation-i,2,False,False
41,zubat,ズバット,245,40,45,35,30,40,55,"poison,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,generation-i,0,False,False
42,golbat,ゴルバット,455,75,80,70,65,75,90,"poison,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,generation-i,1,False,False
43,oddish,ナゾノクサ,320,45,50,55,75,65,30,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,generation-i,0,False,False
44,gloom,クサイハナ,395,60,65,70,85,75,40,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,generation-i,1,False,False
45,vileplume,ラフレシア,490,75,80,85,110,90,50,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,generation-i,2,False,False
46,paras,パラス,285,35,70,55,45,55,25,"bug,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,generation-i,0,False,False
47,parasect,パラセクト,405,60,95,80,60,80,30,"bug,grass",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,generation-i,1,False,False
48,venonat,コンパン,305,60,55,50,40,55,45,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,generation-i,0,False,False
49,venomoth,モルフォン,450,70,65,60,90,75,90,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,generation-i,1,False,False
50,diglett,ディグダ,265,10,55,25,35,45,95,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,generation-i,0,False,False
51,dugtrio,ダグトリオ,425,35,100,50,50,70,120,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,generation-i,1,False,False
52,meowth,ニャース,290,40,45,35,40,40,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,generation-i,0,False,False
53,persian,ペルシアン,440,65,70,60,65,65,115,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,generation-i,1,False,False
54,psyduck,コダック,320,50,52,48,65,50,55,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png,generation-i,0,False,False
55,golduck,ゴルダック,500,80,82,78,95,80,85,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/55.png,generation-i,1,False,False
56,mankey,マンキー,305,40,80,35,35,45,70,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png,generation-i,0,False,False
57,primeape,オコリザル,455,65,105,60,60,70,95,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/57.png,generation-i,1,False,False
58,growlithe,ガーディ,350,55,70,45,70,50,60,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png,generation-i,0,False,False
59,arcanine,ウインディ,555,90,110,80,100,80,95,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/59.png,generation-i,1,False,False
60,poliwag,ニョロモ,300,40,50,40,40,40,90,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/60.png,generation-i,0,False,False
61,poliwhirl,ニョロゾ,385,65,65,65,50,50,90,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/61.png,generation-i,1,False,False
62,poliwrath,ニョロボン,510,90,95,95,70,90,70,"water,fighting",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/62.png,generation-i,2,False,False
63,abra,ケーシィ,310,25,20,15,105,55,90,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/63.png,generation-i,0,False,False
64,kadabra,ユンゲラー,400,40,35,30,120,70,105,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/64.png,generation-i,1,False,False
65,alakazam,フーディン,500,55,50,45,135,95,120,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/65.png,generation-i,2,False,False
66,machop,ワンリキー,305,70,80,50,35,35,35,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/66.png,generation-i,0,False,False
67,machoke,ゴーリキー,405,80,100,70,50,60,45,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/67.png,generation-i,1,False,False
68,machamp,カイリキー,505,90,130,80,65,85,55,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/68.png,generation-i,2,False,False
69,bellsprout,マダツボミ,300,50,75,35,70,30,40,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/69.png,generation-i,0,False,False
70,weepinbell,ウツドン,390,65,90,50,85,45,55,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/70.png,generation-i,1,False,False
71,victreebel,ウツボット,490,80,105,65,100,70,70,"grass,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/71.png,generation-i,2,False,False
72,tentacool,メノクラゲ,335,40,40,35,50,100,70,"water,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/72.png,generation-i,0,False,False
73,tentacruel,ドククラゲ,515,80,70,65,80,120,100,"water,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/73.png,generation-i,1,False,False
74,geodude,イシツブテ,300,40,80,100,30,30,20,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/74.png,generation-i,0,False,False
75,graveler,ゴローン,390,55,95,115,45,45,35,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/75.png,generation-i,1,False,False
76,golem,ゴローニャ,495,80,120,130,55,65,45,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/76.png,generation-i,2,False,False
77,ponyta,ポニータ,410,50,85,55,65,65,90,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/77.png,generation-i,0,False,False
78,rapidash,ギャロップ,500,65,100,70,80,80,105,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/78.png,generation-i,1,False,False
79,slowpoke,ヤドン,315,90,65,65,40,40,15,"water,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/79.png,generation-i,0,False,False
80,slowbro,ヤドラン,490,95,75,110,100,80,30,"water,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/80.png,generation-i,1,False,False
81,magnemite,コイル,325,25,35,70,95,55,45,"electric,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/81.png,generation-i,0,False,False
82,magneton,レアコイル,465,50,60,95,120,70,70,"electric,steel",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/82.png,generation-i,1,False,False
83,farfetchd,カモネギ,377,52,90,55,58,62,60,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/83.png,generation-i,0,False,False
84,doduo,ドードー,310,35,85,45,35,35,75,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/84.png,generation-i,0,False,False
85,dodrio,ドードリオ,470,60,110,70,60,60,110,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/85.png,generation-i,1,False,False
86,seel,パウワウ,325,65,45,55,45,70,45,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/86.png,generation-i,0,False,False
87,dewgong,ジュゴン,475,90,70,80,70,95,70,"water,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/87.png,generation-i,1,False,False
88,grimer,ベトベター,325,80,80,50,40,50,25,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/88.png,generation-i,0,False,False
89,muk,ベトベトン,500,105,105,75,65,100,50,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/89.png,generation-i,1,False,False
90,shellder,シェルダー,305,30,65,100,45,25,40,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/90.png,generation-i,0,False,False
91,cloyster,パルシェン,525,50,95,180,85,45,70,"water,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/91.png,generation-i,1,False,False
92,gastly,ゴース,310,30,35,30,100,35,80,"ghost,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/92.png,generation-i,0,False,False
93,haunter,ゴースト,405,45,50,45,115,55,95,"ghost,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/93.png,generation-i,1,False,False
94,gengar,ゲンガー,500,60,65,60,130,75,110,"ghost,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/94.png,generation-i,2,False,False
95,onix,イワーク,385,35,45,160,30,45,70,"rock,ground",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/95.png,generation-i,0,False,False
96,drowzee,スリープ,328,60,48,45,43,90,42,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/96.png,generation-i,0,False,False
97,hypno,スリーパー,483,85,73,70,73,115,67,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/97.png,generation-i,1,False,False
98,krabby,クラブ,325,30,105,90,25,25,50,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/98.png,generation-i,0,False,False
99,kingler,キングラー,475,55,130,115,50,50,75,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/99.png,generation-i,1,False,False
100,voltorb,ビリリダマ,330,40,30,50,55,55,100,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/100.png,generation-i,0,False,False
101,electrode,マルマイン,490,60,50,70,80,80,150,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/101.png,generation-i,1,False,False
102,exeggcute,タマタマ,325,60,40,80,60,45,40,"grass,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/102.png,generation-i,0,False,False
103,exeggutor,ナッシー,530,95,95,85,125,75,55,"grass,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/103.png,generation-i,1,False,False
104,cubone,カラカラ,320,50,50,95,40,50,35,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/104.png,generation-i,0,False,False
105,marowak,ガラガラ,425,60,80,110,50,80,45,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/105.png,generation-i,1,False,False
106,hitmonlee,サワムラー,455,50,120,53,35,110,87,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/106.png,generation-i,1,False,False
107,hitmonchan,エビワラー,455,50,105,79,35,110,76,fighting,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/107.png,generation-i,1,False,False
108,lickitung,ベロリンガ,385,90,55,75,60,75,30,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/108.png,generation-i,0,False,False
109,koffing,ドガース,340,40,65,95,60,45,35,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/109.png,generation-i,0,False,False
110,weezing,マタドガス,490,65,90,120,85,70,60,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/110.png,generation-i,1,False,False
111,rhyhorn,サイホーン,345,80,85,95,30,30,25,"ground,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/111.png,generation-i,0,False,False
112,rhydon,サイドン,485,105,130,120,45,45,40,"ground,rock",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/112.png,generation-i,1,False,False
113,chansey,ラッキー,450,250,5,5,35,105,50,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/113.png,generation-i,1,False,False
114,tangela,モンジャラ,435,65,55,115,100,40,60,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/114.png,generation-i,0,False,False
115,kangaskhan,ガルーラ,490,105,95,80,40,80,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/115.png,generation-i,0,False,False
116,horsea,タッツー,295,30,40,70,70,25,60,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/116.png,generation-i,0,False,False
117,seadra,シードラ,440,55,65,95,95,45,85,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png,generation-i,1,False,False
118,goldeen,トサキント,320,45,67,60,35,50,63,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png,generation-i,0,False,False
119,seaking,アズマオウ,450,80,92,65,65,80,68,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png,generation-i,1,False,False
120,staryu,ヒトデマン,340,30,45,55,70,55,85,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png,generation-i,0,False,False
121,starmie,スターミー,520,60,75,85,100,85,115,"water,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png,generation-i,1,False,False
122,mr-mime,バリヤード,460,40,45,65,100,120,90,"psychic,fairy",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png,generation-i,1,False,False
123,scyther,ストライク,500,70,110,80,55,80,105,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png,generation-i,0,False,False
124,jynx,ルージュラ,455,65,50,35,115,95,95,"ice,psychic",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png,generation-i,1,False,False
125,electabuzz,エレブー,490,65,83,57,95,85,105,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png,generation-i,1,False,False
126,magmar,ブーバー,495,65,95,57,100,85,93,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png,generation-i,1,False,False
127,pinsir,カイロス,500,65,125,100,55,70,85,bug,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png,generation-i,0,False,False
128,tauros,ケンタロス,490,75,100,95,40,70,110,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png,generation-i,0,False,False
129,magikarp,コイキング,200,20,10,55,15,20,80,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png,generation-i,0,False,False
130,gyarados,ギャラドス,540,95,125,79,60,100,81,"water,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png,generation-i,1,False,False
131,lapras,ラプラス,535,130,85,80,85,95,60,"water,ice",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png,generation-i,0,False,False
132,ditto,メタモン,288,48,48,48,48,48,48,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png,generation-i,0,False,False
133,eevee,イーブイ,325,55,55,50,45,65,55,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png,generation-i,0,False,False
134,vaporeon,シャワーズ,525,130,65,60,110,95,65,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png,generation-i,1,False,False
135,jolteon,サンダース,525,65,65,60,110,95,130,electric,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png,generation-i,1,False,False
136,flareon,ブースター,525,65,130,60,95,110,65,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png,generation-i,1,False,False
137,porygon,ポリゴン,395,65,60,70,85,75,40,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png,generation-i,0,False,False
138,omanyte,オムナイト,355,35,40,100,90,55,35,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png,generation-i,0,False,False
139,omastar,オムスター,495,70,60,125,115,70,55,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png,generation-i,1,False,False
140,kabuto,カブト,355,30,80,90,55,45,55,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png,generation-i,0,False,False
141,kabutops,カブトプス,495,60,115,105,65,70,80,"rock,water",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png,generation-i,1,False,False
142,aerodactyl,プテラ,515,80,105,65,60,75,130,"rock,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png,generation-i,0,False,False
143,snorlax,カビゴン,540,160,110,65,65,110,30,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png,generation-i,1,False,False
144,articuno,フリーザー,580,90,85,100,95,125,85,"ice,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png,generation-i,0,True,False
145,zapdos,サンダー,580,90,90,85,125,90,100,"electric,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png,generation-i,0,True,False
146,moltres,ファイヤー,580,90,100,90,125,85,90,"fire,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png,generation-i,0,True,False
147,dratini,ミニリュウ,300,41,64,45,50,50,50,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png,generation-i,0,False,False
148,dragonair,ハクリュー,420,61,84,65,70,70,70,dragon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png,generation-i,1,False,False
149,dragonite,カイリュー,600,91,134,95,100,100,80,"dragon,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png,generation-i,2,False,False
150,mewtwo,ミュウツー,680,106,110,90,154,90,130,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png,generation-i,0,True,False
151,mew,ミュウ,600,100,100,100,100,100,100,psychic,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png,generation-i,0,False,True
152,chikorita,チコリータ,318,45,49,65,49,65,45,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png,generation-ii,0,False,False
153,bayleef,ベイリーフ,405,60,62,80,63,80,60,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png,generation-ii,1,False,False
154,meganium,メガニウム,525,80,82,100,83,100,80,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png,generation-ii,2,False,False
155,cyndaquil,ヒノアラシ,309,39,52,43,60,50,65,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png,generation-ii,0,False,False
156,quilava,マグマラシ,405,58,64,58,80,65,80,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png,generation-ii,1,False,False
157,typhlosion,バクフーン,534,78,84,78,109,85,100,fire,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png,generation-ii,2,False,False
158,totodile,ワニノコ,314,50,65,64,44,48,43,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png,generation-ii,0,False,False
159,croconaw,アリゲイツ,405,65,80,80,59,63,58,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png,generation-ii,1,False,False
160,feraligatr,オーダイル,530,85,105,100,79,83,78,water,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png,generation-ii,2,False,False
161,sentret,オタチ,215,35,46,34,35,45,20,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png,generation-ii,0,False,False
162,furret,オオタチ,415,85,76,64,45,55,90,normal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png,generation-ii,1,False,False
163,hoothoot,ホーホー,262,60,30,30,36,56,50,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png,generation-ii,0,False,False
164,noctowl,ヨルノズク,452,100,50,50,86,96,70,"normal,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png,generation-ii,1,False,False
165,ledyba,レディバ,265,40,20,30,40,80,55,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png,generation-ii,0,False,False
166,ledian,レディアン,390,55,35,50,55,110,85,"bug,flying",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png,generation-ii,1,False,False
167,spinarak,イトマル,250,40,60,40,40,40,30,"bug,poison",https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png,generation-ii,0,False,False
